,State,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,fips
10,Georgia,#00FFFF,#00FFFF,#00FFFF,#00FFFF,#00ff7D,#00FFFF,#00ff7D,#00FFFF,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00FFFF,#00FFFF,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00FFFF,#00FFFF,#00FFFF,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00FF00,#00FF00,US13
11,Hawaii,#00FF00,#00ff7D,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00ff7D,#00FF00,#00FF00,#00FF00,#00FF00,#00ff7D,#00ff7D,#00FF00,#00FF00,#00FF00,#00FF00,#00ff7D,#00FF00,#00FF00,#00FF00,#00FF00,#00ff7D,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#7DFF00,#7DFF00,#00FF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#FFFF00,#7DFF00,#7DFF00,US15
12,Iowa,#00ff7D,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00ff7D,#00ff7D,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00ff7D,#00ff7D,#00FF00,#00ff7D,#00ff7D,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,US19
13,Idaho,#00FF00,#00FF00,#00FF00,#7DFF00,#FFFF00,#FFFF00,#FFFF00,#00FF00,#7DFF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FFFF,#007DFF,#007DFF,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00FF00,#00ff7D,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,US16
14,Illinois,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00FFFF,#00FFFF,#00ff7D,#00ff7D,#00ff7D,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,US17
15,Indiana,#00FFFF,#00FFFF,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00ff7D,#00ff7D,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,US18
16,Kansas,#007DFF,#00ff7D,#00FFFF,#00ff7D,#00ff7D,#00ff7D,#00FF00,#00FF00,#00FF00,#00ff7D,#00FF00,#00FF00,#00FF00,#00FF00,#00ff7D,#00ff7D,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00ff7D,#00ff7D,#00FF00,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00FF00,#00FF00,#00ff7D,#00FF00,#00ff7D,#00FF00,#00FF00,#00FF00,#00FF00,US20
17,Kentucky,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00ff7D,#00ff7D,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,US21
18,Louisiana,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00FFFF,#00FFFF,#00ff7D,#00ff7D,#00FFFF,#00FFFF,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00FF00,#00FF00,#00FF00,#00FF00,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,US22
19,Massachusetts,#00FF00,#00FF00,#00FF00,#00FF00,#00FFFF,#00FF00,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00FF00,#00ff7D,#00ff7D,#00FF00,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00FFFF,#00FFFF,#00FFFF,#00FFFF,#00FFFF,#00FFFF,#00FFFF,#00FFFF,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,US25
